"time","value"
"2014-05-01 00:00",16.54
"2014-05-01 00:10",15.78
"2014-05-01 00:20",14.99
"2014-05-01 00:30",15.66
"2014-05-01 00:40",15.76
"2014-05-01 00:50",15.23
"2014-05-01 01:00",14.89
"2014-05-01 01:10",14.93
"2014-05-01 01:20",13.84
"2014-05-01 01:30",13.9
"2014-05-01 01:40",14
"2014-05-01 01:50",15.79
"2014-05-01 02:00",15.59
"2014-05-01 02:10",15.16
"2014-05-01 02:20",14.91
"2014-05-01 02:30",15.07
"2014-05-01 02:40",15.5
"2014-05-01 02:50",15.53
"2014-05-01 03:00",15.05
"2014-05-01 03:10",14.73
"2014-05-01 03:20",14.71
"2014-05-01 03:30",14.27
"2014-05-01 03:40",14.91
"2014-05-01 03:50",15.42
"2014-05-01 04:00",16.09
"2014-05-01 04:10",15.93
"2014-05-01 04:20",15.79
"2014-05-01 04:30",15.78
"2014-05-01 04:40",16.34
"2014-05-01 04:50",19.38
"2014-05-01 05:00",19.03
"2014-05-01 05:10",19.42
"2014-05-01 05:20",19.58
"2014-05-01 05:30",19.25
"2014-05-01 05:40",19.4
"2014-05-01 05:50",19.24
"2014-05-01 06:00",19.52
"2014-05-01 06:10",19.23
"2014-05-01 06:20",18.89
"2014-05-01 06:30",18.95
"2014-05-01 06:40",19.25
"2014-05-01 06:50",19.17
"2014-05-01 07:00",18.98
"2014-05-01 07:10",18.35
"2014-05-01 07:20",19.61
"2014-05-01 07:30",19.92
"2014-05-01 07:40",19.68
"2014-05-01 07:50",19.32
"2014-05-01 08:00",20.51
"2014-05-01 08:10",20.87
"2014-05-01 08:20",20.86
"2014-05-01 08:30",22.62
"2014-05-01 08:40",22.44
"2014-05-01 08:50",22.28
"2014-05-01 09:00",22.34
"2014-05-01 09:10",23.21
"2014-05-01 09:20",23.65
"2014-05-01 09:30",24.31
"2014-05-01 09:40",24.15
"2014-05-01 09:50",24
"2014-05-01 10:00",24.29
"2014-05-01 10:10",24.2
"2014-05-01 10:20",24.12
"2014-05-01 10:30",23.44
"2014-05-01 10:40",22.74
"2014-05-01 10:50",22.88
"2014-05-01 11:00",23.45
"2014-05-01 11:10",24.04
"2014-05-01 11:20",24.1
"2014-05-01 11:30",24.7
"2014-05-01 11:40",24.43
"2014-05-01 11:50",24.98
"2014-05-01 12:00",24.82
"2014-05-01 12:10",24.31
"2014-05-01 12:20",24.68
"2014-05-01 12:30",24.96
"2014-05-01 12:40",26.18
"2014-05-01 12:50",25.48
"2014-05-01 13:00",26.56
"2014-05-01 13:10",25.56
"2014-05-01 13:20",24.51
"2014-05-01 13:30",24.15
"2014-05-01 13:40",23.77
"2014-05-01 13:50",24.28
"2014-05-01 14:00",25.49
"2014-05-01 14:10",24.04
"2014-05-01 14:20",22.22
"2014-05-01 14:30",22.88
"2014-05-01 14:40",22.64
"2014-05-01 14:50",22.41
"2014-05-01 15:00",22.65
"2014-05-01 15:10",22.78
"2014-05-01 15:20",22.21
"2014-05-01 15:30",21.51
"2014-05-01 15:40",21.08
"2014-05-01 15:50",20.83
"2014-05-01 16:00",21.16
"2014-05-01 16:10",21.05
"2014-05-01 16:20",21.15
"2014-05-01 16:30",21.05
"2014-05-01 16:40",21.14
"2014-05-01 16:50",22.05
"2014-05-01 17:00",23.5
"2014-05-01 17:10",23.65
"2014-05-01 17:20",22.98
"2014-05-01 17:30",22.22
"2014-05-01 17:40",21.74
"2014-05-01 17:50",21.12
"2014-05-01 18:00",20.81
"2014-05-01 18:10",28.33
"2014-05-01 18:20",29.6
"2014-05-01 18:30",30.87
"2014-05-01 18:40",31.45
"2014-05-01 18:50",32.18
"2014-05-01 19:00",31.04
"2014-05-01 19:10",31.29
"2014-05-01 19:20",31.19
"2014-05-01 19:30",31.18
"2014-05-01 19:40",30.73
"2014-05-01 19:50",31.18
"2014-05-01 20:00",30.17
"2014-05-01 20:10",29.54
"2014-05-01 20:20",29.75
"2014-05-01 20:30",28.95
"2014-05-01 20:40",29.82
"2014-05-01 20:50",29.74
"2014-05-01 21:00",28.4
"2014-05-01 21:10",27.88
"2014-05-01 21:20",26.25
"2014-05-01 21:30",24.97
"2014-05-01 21:40",24.99
"2014-05-01 21:50",24.52
"2014-05-01 22:00",17.42
"2014-05-01 22:10",16.33
"2014-05-01 22:20",16.57
"2014-05-01 22:30",16.29
"2014-05-01 22:40",16.52
"2014-05-01 22:50",16.45
"2014-05-01 23:00",16.23
"2014-05-01 23:10",16.12
"2014-05-01 23:20",15.99
"2014-05-01 23:30",15.87
"2014-05-01 23:40",15.88
"2014-05-01 23:50",15.65
"2014-05-02 00:00",16.47
"2014-05-02 00:10",16.61
"2014-05-02 00:20",16.1
"2014-05-02 00:30",16.05
"2014-05-02 00:40",15.77
"2014-05-02 00:50",15.06
"2014-05-02 01:00",15.12
"2014-05-02 01:10",14.93
"2014-05-02 01:20",15.47
"2014-05-02 01:30",15.19
"2014-05-02 01:40",15.02
"2014-05-02 01:50",15.25
"2014-05-02 02:00",15.29
"2014-05-02 02:10",14.95
"2014-05-02 02:20",14.76
"2014-05-02 02:30",14.42
"2014-05-02 02:40",14.34
"2014-05-02 02:50",15.06
"2014-05-02 03:00",14.99
"2014-05-02 03:10",14.27
"2014-05-02 03:20",12.19
"2014-05-02 03:30",13.27
"2014-05-02 03:40",14.61
"2014-05-02 03:50",15.28
"2014-05-02 04:00",14.29
"2014-05-02 04:10",13.27
"2014-05-02 04:20",14.64
"2014-05-02 04:30",15.1
"2014-05-02 04:40",15.51
"2014-05-02 04:50",15.18
"2014-05-02 05:00",16.23
"2014-05-02 05:10",16.57
"2014-05-02 05:20",16.66
"2014-05-02 05:30",16.12
"2014-05-02 05:40",17.11
"2014-05-02 05:50",17.65
"2014-05-02 06:00",18.17
"2014-05-02 06:10",19.17
"2014-05-02 06:20",19.24
"2014-05-02 06:30",18.49
"2014-05-02 06:40",18.13
"2014-05-02 06:50",18.5
"2014-05-02 07:00",18.29
"2014-05-02 07:10",18.83
"2014-05-02 07:20",19.61
"2014-05-02 07:30",19.8
"2014-05-02 07:40",19.49
"2014-05-02 07:50",19.57
"2014-05-02 08:00",17.74
"2014-05-02 08:10",18.79
"2014-05-02 08:20",19.21
"2014-05-02 08:30",20.96
"2014-05-02 08:40",19.62
"2014-05-02 08:50",20.87
"2014-05-02 09:00",20.98
"2014-05-02 09:10",21.18
"2014-05-02 09:20",20.89
"2014-05-02 09:30",21.87
"2014-05-02 09:40",21.99
"2014-05-02 09:50",20.98
"2014-05-02 10:00",22.74
"2014-05-02 10:10",20.93
"2014-05-02 10:20",21.5
"2014-05-02 10:30",21.83
"2014-05-02 10:40",21.48
"2014-05-02 10:50",22.72
"2014-05-02 11:00",21.8
"2014-05-02 11:10",19.54
"2014-05-02 11:20",20.49
"2014-05-02 11:30",20.61
"2014-05-02 11:40",21.92
"2014-05-02 11:50",21.65
"2014-05-02 12:00",21.18
"2014-05-02 12:10",21.32
"2014-05-02 12:20",20.76
"2014-05-02 12:30",19.19
"2014-05-02 12:40",19.36
"2014-05-02 12:50",19.26
"2014-05-02 13:00",19.33
"2014-05-02 13:10",19
"2014-05-02 13:20",20.59
"2014-05-02 13:30",20.8
"2014-05-02 13:40",21.41
"2014-05-02 13:50",19.49
"2014-05-02 14:00",20.44
"2014-05-02 14:10",19.74
"2014-05-02 14:20",20.51
"2014-05-02 14:30",20.6
"2014-05-02 14:40",22.14
"2014-05-02 14:50",20.1
"2014-05-02 15:00",20.18
"2014-05-02 15:10",20.06
"2014-05-02 15:20",19.55
"2014-05-02 15:30",19.39
"2014-05-02 15:40",20.07
"2014-05-02 15:50",19.59
"2014-05-02 16:00",20.55
"2014-05-02 16:10",20.47
"2014-05-02 16:20",19.95
"2014-05-02 16:30",19.64
"2014-05-02 16:40",21.12
"2014-05-02 16:50",19.14
"2014-05-02 17:00",19.27
"2014-05-02 17:10",17.78
"2014-05-02 17:20",19.15
"2014-05-02 17:30",21.87
"2014-05-02 17:40",22.86
"2014-05-02 17:50",23.56
"2014-05-02 18:00",23.26
"2014-05-02 18:10",24.79
"2014-05-02 18:20",31.21
"2014-05-02 18:30",31.19
"2014-05-02 18:40",31.2
"2014-05-02 18:50",31.31
"2014-05-02 19:00",29.95
"2014-05-02 19:10",29.23
"2014-05-02 19:20",30.3
"2014-05-02 19:30",30.4
"2014-05-02 19:40",31.59
"2014-05-02 19:50",30.63
"2014-05-02 20:00",29.16
"2014-05-02 20:10",28.84
"2014-05-02 20:20",27.21
"2014-05-02 20:30",27.95
"2014-05-02 20:40",28.62
"2014-05-02 20:50",26.7
"2014-05-02 21:00",26.99
"2014-05-02 21:10",26.87
"2014-05-02 21:20",25.93
"2014-05-02 21:30",24.68
"2014-05-02 21:40",25.07
"2014-05-02 21:50",24.07
"2014-05-02 22:00",16.2
"2014-05-02 22:10",16.62
"2014-05-02 22:20",16.56
"2014-05-02 22:30",16.15
"2014-05-02 22:40",17
"2014-05-02 22:50",16.45
"2014-05-02 23:00",16.61
"2014-05-02 23:10",15.95
"2014-05-02 23:20",15.96
"2014-05-02 23:30",15.93
"2014-05-02 23:40",15.63
"2014-05-02 23:50",15.4
"2014-05-03 00:00",15.87
"2014-05-03 00:10",15.82
"2014-05-03 00:20",14.76
"2014-05-03 00:30",15.22
"2014-05-03 00:40",15.12
"2014-05-03 00:50",15.36
"2014-05-03 01:00",15.84
"2014-05-03 01:10",15.76
"2014-05-03 01:20",15.41
"2014-05-03 01:30",15.18
"2014-05-03 01:40",15
"2014-05-03 01:50",15.71
"2014-05-03 02:00",15.17
"2014-05-03 02:10",15.16
"2014-05-03 02:20",14.84
"2014-05-03 02:30",14.84
"2014-05-03 02:40",15.61
"2014-05-03 02:50",15.54
"2014-05-03 03:00",16.16
"2014-05-03 03:10",15.38
"2014-05-03 03:20",15.34
"2014-05-03 03:30",14.77
"2014-05-03 03:40",14.12
"2014-05-03 03:50",13.9
"2014-05-03 04:00",14.86
"2014-05-03 04:10",15.74
"2014-05-03 04:20",16.25
"2014-05-03 04:30",16.16
"2014-05-03 04:40",16.73
"2014-05-03 04:50",16.81
"2014-05-03 05:00",16.51
"2014-05-03 05:10",15.87
"2014-05-03 05:20",15.12
"2014-05-03 05:30",15.43
"2014-05-03 05:40",16.77
"2014-05-03 05:50",17.45
"2014-05-03 06:00",17.74
"2014-05-03 06:10",17.48
"2014-05-03 06:20",17.69
"2014-05-03 06:30",17.62
"2014-05-03 06:40",17.93
"2014-05-03 06:50",18.04
"2014-05-03 07:00",17.4
"2014-05-03 07:10",16.51
"2014-05-03 07:20",16.3
"2014-05-03 07:30",17.32
"2014-05-03 07:40",18.05
"2014-05-03 07:50",18.7
"2014-05-03 08:00",18.23
"2014-05-03 08:10",19.23
"2014-05-03 08:20",18.15
"2014-05-03 08:30",18.25
"2014-05-03 08:40",19.11
"2014-05-03 08:50",19.21
"2014-05-03 09:00",18.16
"2014-05-03 09:10",18.05
"2014-05-03 09:20",17.56
"2014-05-03 09:30",18.67
"2014-05-03 09:40",19.56
"2014-05-03 09:50",19.12
"2014-05-03 10:00",19.07
"2014-05-03 10:10",18.79
"2014-05-03 10:20",18.28
"2014-05-03 10:30",17.64
"2014-05-03 10:40",16.65
"2014-05-03 10:50",17.19
"2014-05-03 11:00",17.47
"2014-05-03 11:10",17.98
"2014-05-03 11:20",18.67
"2014-05-03 11:30",19.88
"2014-05-03 11:40",19.84
"2014-05-03 11:50",19.44
"2014-05-03 12:00",20.33
"2014-05-03 12:10",20.63
"2014-05-03 12:20",19.87
"2014-05-03 12:30",19.56
"2014-05-03 12:40",19.47
"2014-05-03 12:50",19.63
"2014-05-03 13:00",18.93
"2014-05-03 13:10",18.94
"2014-05-03 13:20",18.42
"2014-05-03 13:30",18.86
"2014-05-03 13:40",19.74
"2014-05-03 13:50",20.09
"2014-05-03 14:00",19.93
"2014-05-03 14:10",20.15
"2014-05-03 14:20",21.52
"2014-05-03 14:30",20.46
"2014-05-03 14:40",20.25
"2014-05-03 14:50",20.17
"2014-05-03 15:00",20.77
"2014-05-03 15:10",19.11
"2014-05-03 15:20",19.41
"2014-05-03 15:30",19.93
"2014-05-03 15:40",19.93
"2014-05-03 15:50",18.85
"2014-05-03 16:00",19.49
"2014-05-03 16:10",20.59
"2014-05-03 16:20",20
"2014-05-03 16:30",19.68
"2014-05-03 16:40",19.53
"2014-05-03 16:50",18.46
"2014-05-03 17:00",18
"2014-05-03 17:10",19.03
"2014-05-03 17:20",19.87
"2014-05-03 17:30",19.65
"2014-05-03 17:40",18.27
"2014-05-03 17:50",19.91
"2014-05-03 18:00",20.17
"2014-05-03 18:10",19.34
"2014-05-03 18:20",18.65
"2014-05-03 18:30",19.27
"2014-05-03 18:40",28.39
